"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"bears is even <font color = red>worse</font> than i imagined a movie ever could be .","bears is even <font color = green>uncollectible</font> than i imagined a movie ever could be .",0.006875574588775635,0.620513379573822,0,1,0,3,"Successful"
"although estela bravo's <font color = green>documentary</font> is <font color = green>cloyingly</font> hagiographic in its portrait of cuban leader fidel castro , it's <font color = green>still</font> a guilty <font color = green>pleasure</font> to <font color = green>watch</font> .","although estela bravo's <font color = green>documental</font> is <font color = green>almost</font> hagiographic in its portrait of cuban leader fidel castro , it's <font color = green>even</font> a guilty <font color = green>pleasantness</font> to <font color = green>surveillance</font> .",0.001990973949432373,0.16602659225463867,1,1,1,36,"Failed"
"i have a new favorite musical -- and i'm not even a fan of the genre","i have a new favorite musical -- and i'm not even a fan of the genre",0.9987711906433105,0.9987711906433105,0,0,1,1,"Skipped"
"it's <font color = red>lazy</font> for a <font color = red>movie</font> to <font color = red>avoid</font> solving one problem by trying to <font color = red>distract</font> us with the solution to another .","it's <font color = red>work-shy</font> for a <font color = red>film</font> to <font color = red>obviate</font> solving one problem by trying to <font color = red>deflect</font> us with the solution to another .",0.0005148649215698242,0.032997310161590576,0,0,0,20,"Failed"
"even when he's not at his most <font color = green>critically</font> <font color = green>insightful</font> , godard can <font color = green>still</font> be <font color = green>smarter</font> than any 50 other filmmakers still at <font color = green>work</font> .","even when he's not at his most <font color = green>very</font> <font color = green>intelligent</font> , godard can <font color = green>even</font> be <font color = green>voguish</font> than any 50 other filmmakers still at <font color = green>workplace</font> .",0.002471745014190674,0.033971965312957764,1,1,1,20,"Failed"
"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",0.9937938451766968,0.9937938451766968,1,1,0,1,"Skipped"
"it's unlikely we'll see a better thriller this year .","it's unlikely we'll see a better thriller this year .",0.998732328414917,0.998732328414917,0,0,1,1,"Skipped"
"the story gives ample <font color = green>opportunity</font> for large-scale action and <font color = green>suspense</font> , which director shekhar kapur supplies with <font color = green>tremendous</font> <font color = green>skill</font> .","the story gives ample <font color = green>potential</font> for large-scale action and <font color = green>doubtfulness</font> , which director shekhar kapur supplies with <font color = green>surprising</font> <font color = green>acquirement</font> .",0.001867830753326416,0.006771862506866455,1,1,1,41,"Failed"
"ultimately this is a <font color = red>frustrating</font> patchwork : an <font color = red>uneasy</font> marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .","ultimately this is a <font color = green>frustrative</font> patchwork : an <font color = green>anxious</font> marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .",0.0012558698654174805,0.9026952981948853,0,1,0,5,"Successful"
"the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .","the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .",0.9787994027137756,0.9787994027137756,1,1,0,1,"Skipped"
"some writer dude , i <font color = red>think</font> his name was , uh , <font color = red>michael</font> <font color = red>zaidan</font> , was supposed to have like written the <font color = red>screenplay</font> or something , but , dude , the only thing that i ever saw that was written down were the zeroes on my paycheck .","some writer dude , i <font color = red>believe</font> his name was , uh , <font color = red>mike</font> <font color = red>parker</font> , was supposed to have like written the <font color = red>script</font> or something , but , dude , the only thing that i ever saw that was written down were the zeroes on my paycheck .",0.0017235279083251953,0.0017865896224975586,0,0,0,67,"Failed"
"a sha-na-na sketch punctuated with graphic <font color = red>violence</font> .","a sha-na-na sketch punctuated with graphic <font color = green>savageness</font> .",0.0026917457580566406,0.992850661277771,0,1,0,6,"Successful"
"like the series , the <font color = green>movie</font> is <font color = green>funny</font> , smart , visually <font color = green>inventive</font> , and most of all , alive .","like the series , the <font color = green>picture</font> is <font color = green>odd</font> , smart , visually <font color = green>imaginative</font> , and most of all , alive .",0.0006294846534729004,0.000983119010925293,1,1,1,21,"Failed"
"perhaps even the slc high command <font color = red>found</font> writer-director mitch davis's <font color = red>wall</font> of kitsch <font color = red>hard</font> <font color = red>going</font> .","perhaps even the slc high command <font color = red>detect</font> writer-director mitch davis's <font color = red>proscenium</font> of kitsch <font color = red>tough</font> <font color = red>go</font> .",0.0004807710647583008,0.020626842975616455,0,0,0,17,"Failed"
"'es en verdad una <font color = red>pena</font> que <font color = red>mandoki</font> esté realizando cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '","'es en verdad una <font color = green>historia</font> que <font color = green>el</font> esté realizando cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '",0.3785003423690796,0.594868004322052,0,1,0,27,"Successful"
"the spalding <font color = red>gray</font> <font color = red>equivalent</font> of a <font color = red>teen</font> gross-out comedy .","the spalding <font color = red>dapple-grey</font> <font color = red>vis-a-vis</font> of a <font color = red>pachuco</font> gross-out comedy .",0.0004073977470397949,0.00948631763458252,0,0,0,28,"Failed"
"all mood and no <font color = red>movie</font> .","all mood and no <font color = red>telefilm</font> .",0.0012192130088806152,0.0013228058815002441,0,0,0,9,"Failed"
"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .","other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",0.9993778467178345,0.9993778467178345,0,0,1,1,"Skipped"
