"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"bears is even <font color = red>worse</font> than i imagined a movie ever could be .","bears is even <font color = green>gravest</font> than i imagined a movie ever could be .",0.006875574588775635,0.6244323253631592,0,1,0,14,"Successful"
"although estela bravo's <font color = green>documentary</font> is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's still a <font color = green>guilty</font> <font color = green>pleasure</font> to watch .","although estela bravo's <font color = red>documentaries</font> is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's still a <font color = red>offender</font> <font color = red>placing</font> to watch .",0.001990973949432373,0.6026600003242493,1,0,1,46,"Successful"
"i have a new favorite musical -- and i'm not even a fan of the genre","i have a new favorite musical -- and i'm not even a fan of the genre",0.9987711906433105,0.9987711906433105,0,0,1,1,"Skipped"
"it's lazy for a <font color = red>movie</font> to <font color = red>avoid</font> <font color = red>solving</font> one problem by trying to distract us with the <font color = red>solution</font> to another .","it's lazy for a <font color = red>filmmaking</font> to <font color = red>avoidance</font> <font color = red>tackling</font> one problem by trying to distract us with the <font color = red>resolve</font> to another .",0.0005148649215698242,0.0008736252784729004,0,0,0,85,"Failed"
"even when he's not at his most <font color = green>critically</font> <font color = green>insightful</font> , godard can <font color = green>still</font> be <font color = green>smarter</font> than any 50 other <font color = green>filmmakers</font> still at work .","even when he's not at his most <font color = green>keenly</font> <font color = green>smart</font> , godard can <font color = green>once</font> be <font color = green>skilful</font> than any 50 other <font color = green>screenwriters</font> still at work .",0.002471745014190674,0.04678177833557129,1,1,1,97,"Failed"
"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",0.9937938451766968,0.9937938451766968,1,1,0,1,"Skipped"
"it's unlikely we'll see a better thriller this year .","it's unlikely we'll see a better thriller this year .",0.998732328414917,0.998732328414917,0,0,1,1,"Skipped"
"the story gives <font color = green>ample</font> <font color = green>opportunity</font> for large-scale action and <font color = green>suspense</font> , which director shekhar kapur supplies with <font color = green>tremendous</font> skill .","the story gives <font color = green>adequate</font> <font color = green>prospects</font> for large-scale action and <font color = green>awaits</font> , which director shekhar kapur supplies with <font color = green>sizeable</font> skill .",0.001867830753326416,0.025271296501159668,1,1,1,74,"Failed"
"ultimately this is a <font color = red>frustrating</font> patchwork : an <font color = red>uneasy</font> marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .","ultimately this is a <font color = green>disenchanted</font> patchwork : an <font color = green>uncomfortable</font> marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .",0.0012558698654174805,0.5011756420135498,0,1,0,44,"Successful"
"the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .","the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .",0.9787994027137756,0.9787994027137756,1,1,0,1,"Skipped"
