"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"bears is even <font color = red>worse</font> than i imagined a movie ever could be .","bears is even <font color = green>greater</font> than i imagined a movie ever could be .",0.006875574588775635,0.9993562698364258,0,1,0,55,"Successful"
"although estela bravo's documentary is cloyingly hagiographic in its <font color = green>portrait</font> of cuban leader fidel castro , it's <font color = green>still</font> a guilty <font color = green>pleasure</font> to watch .","although estela bravo's documentary is cloyingly hagiographic in its <font color = red>portraits</font> of cuban leader fidel castro , it's <font color = red>actually</font> a guilty <font color = red>shame</font> to watch .",0.001990973949432373,0.5369199514389038,1,0,1,41,"Successful"
"i have a new favorite musical -- and i'm not even a fan of the genre","i have a new favorite musical -- and i'm not even a fan of the genre",0.9987711906433105,0.9987711906433105,0,0,1,1,"Skipped"
"it's lazy for a movie to avoid <font color = red>solving</font> one problem by trying to distract us with the solution to another .","it's lazy for a movie to avoid <font color = red>mentioning</font> one problem by trying to distract us with the solution to another .",0.0005148649215698242,0.000637352466583252,0,0,0,26,"Failed"
"<font color = green>even</font> when he's not at his most critically insightful , godard can <font color = green>still</font> be smarter than any 50 other filmmakers still at work .","<font color = red>now</font> when he's not at his most critically insightful , godard can <font color = red>only</font> be smarter than any 50 other filmmakers still at work .",0.002471745014190674,0.9911526441574097,1,0,1,70,"Successful"
"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",0.9937938451766968,0.9937938451766968,1,1,0,1,"Skipped"
"it's unlikely we'll see a better thriller this year .","it's unlikely we'll see a better thriller this year .",0.998732328414917,0.998732328414917,0,0,1,1,"Skipped"
"the story gives ample <font color = green>opportunity</font> for large-scale action and suspense , which director shekhar kapur supplies with tremendous <font color = green>skill</font> .","the story gives ample <font color = green>material</font> for large-scale action and suspense , which director shekhar kapur supplies with tremendous <font color = green>ease</font> .",0.001867830753326416,0.0030095577239990234,1,1,1,46,"Failed"
"ultimately this is a <font color = red>frustrating</font> patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .","ultimately this is a <font color = green>wonderful</font> patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .",0.0012558698654174805,0.9967038631439209,0,1,0,49,"Successful"
"the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .","the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .",0.9787994027137756,0.9787994027137756,1,1,0,1,"Skipped"
