"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"bears is even <font color = red>worse</font> than i imagined a movie ever could be .","bears is even <font color = green>greatest</font> than i imagined a movie ever could be .",0.006875574588775635,0.9993869066238403,0,1,0,33,"Successful"
"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's <font color = green>still</font> a guilty <font color = green>pleasure</font> to <font color = green>watch</font> .","although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's <font color = red>anyway</font> a guilty <font color = red>placing</font> to <font color = red>tracked</font> .",0.001990973949432373,0.8991812467575073,1,0,1,134,"Successful"
"i have a new favorite musical -- and i'm not even a fan of the genre","i have a new favorite musical -- and i'm not even a fan of the genre",0.9987711906433105,0.9987711906433105,0,0,1,1,"Skipped"
"it's <font color = red>lazy</font> for a <font color = red>movie</font> to avoid <font color = red>solving</font> one problem by <font color = red>trying</font> to distract us with the solution to another .","it's <font color = green>shiftless</font> for a <font color = green>cinematographer</font> to avoid <font color = green>resolved</font> one problem by <font color = green>wanting</font> to distract us with the solution to another .",0.0005148649215698242,0.8057272434234619,0,1,0,108,"Successful"
"even when he's not at his most critically insightful , godard can <font color = green>still</font> be smarter than any 50 other <font color = green>filmmakers</font> still at work .","even when he's not at his most critically insightful , godard can <font color = red>otherwise</font> be smarter than any 50 other <font color = red>cameramen</font> still at work .",0.002471745014190674,0.6480662822723389,1,0,1,65,"Successful"
"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",0.9937938451766968,0.9937938451766968,1,1,0,1,"Skipped"
"it's unlikely we'll see a better thriller this year .","it's unlikely we'll see a better thriller this year .",0.998732328414917,0.998732328414917,0,0,1,1,"Skipped"
"the story <font color = green>gives</font> ample <font color = green>opportunity</font> for large-scale action and suspense , which director shekhar kapur supplies with <font color = green>tremendous</font> <font color = green>skill</font> .","the story <font color = red>poses</font> ample <font color = red>hazard</font> for large-scale action and suspense , which director shekhar kapur supplies with <font color = red>huge</font> <font color = red>jurisdictional</font> .",0.001867830753326416,0.9866936206817627,1,0,1,171,"Successful"
"ultimately this is a <font color = red>frustrating</font> patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .","ultimately this is a <font color = green>unnerving</font> patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .",0.0012558698654174805,0.9796513319015503,0,1,0,49,"Successful"
"the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .","the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .",0.9787994027137756,0.9787994027137756,1,1,0,1,"Skipped"
"some <font color = red>writer</font> dude , i <font color = red>think</font> his <font color = red>name</font> was , <font color = red>uh</font> , <font color = red>michael</font> zaidan , was <font color = red>supposed</font> to <font color = red>have</font> like <font color = red>written</font> the <font color = red>screenplay</font> or something , but , <font color = red>dude</font> , the only <font color = red>thing</font> that i ever <font color = red>saw</font> that was written down were the <font color = red>zeroes</font> on my paycheck .","some <font color = red>author</font> dude , i <font color = red>knew</font> his <font color = red>title</font> was , <font color = red>ouais</font> , <font color = red>micha</font> zaidan , was <font color = red>doubted</font> to <font color = red>receive</font> like <font color = red>printed</font> the <font color = red>script</font> or something , but , <font color = red>bro</font> , the only <font color = red>question</font> that i ever <font color = red>seemed</font> that was written down were the <font color = red>zeros</font> on my paycheck .",0.0017235279083251953,0.0057392120361328125,0,0,0,405,"Failed"
"a sha-na-na sketch <font color = red>punctuated</font> with graphic violence .","a sha-na-na sketch <font color = green>evoke</font> with graphic violence .",0.0026917457580566406,0.998981237411499,0,1,0,32,"Successful"
"<font color = green>like</font> the <font color = green>series</font> , the <font color = green>movie</font> is <font color = green>funny</font> , <font color = green>smart</font> , visually <font color = green>inventive</font> , and most of all , <font color = green>alive</font> .","<font color = red>analogue</font> the <font color = red>serials</font> , the <font color = red>cinematographers</font> is <font color = red>joke</font> , <font color = red>reasonable</font> , visually <font color = red>astute</font> , and most of all , <font color = red>perennial</font> .",0.0006294846534729004,0.9980762600898743,1,0,1,116,"Successful"
"perhaps even the slc high command found writer-director mitch davis's wall of kitsch <font color = red>hard</font> going .","perhaps even the slc high command found writer-director mitch davis's wall of kitsch <font color = green>ferocious</font> going .",0.0004807710647583008,0.7272772789001465,0,1,0,31,"Successful"
"'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , <font color = red>pues</font> talento tiene , pero quién sabe dónde lo tiene escondido . '","'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , <font color = green>luego</font> talento tiene , pero quién sabe dónde lo tiene escondido . '",0.3785003423690796,0.5113858580589294,0,1,0,75,"Successful"
"the spalding <font color = red>gray</font> <font color = red>equivalent</font> of a teen gross-out <font color = red>comedy</font> .","the spalding <font color = green>grays</font> <font color = green>equals</font> of a teen gross-out <font color = green>entertaining</font> .",0.0004073977470397949,0.9983342885971069,0,1,0,84,"Successful"
"all <font color = red>mood</font> and no <font color = red>movie</font> .","all <font color = red>vibe</font> and no <font color = red>cinematographers</font> .",0.0012192130088806152,0.002489805221557617,0,0,0,58,"Failed"
"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .","other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",0.9993778467178345,0.9993778467178345,0,0,1,1,"Skipped"
"<font color = green>despite</font> an <font color = green>overwrought</font> <font color = green>ending</font> , the film <font color = green>works</font> as <font color = green>well</font> as it <font color = green>does</font> because of the performances .","<font color = red>albeit</font> an <font color = red>excitable</font> <font color = red>conclusion</font> , the film <font color = red>labor</font> as <font color = red>satisfactorily</font> as it <font color = red>could</font> because of the performances .",0.0019028782844543457,0.9986268281936646,1,0,1,183,"Successful"
"connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not <font color = green>withered</font> during his enforced hiatus .","connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not <font color = red>moldering</font> during his enforced hiatus .",0.005984961986541748,0.9568583965301514,1,0,1,48,"Successful"
"exploring value choices is a worthwhile <font color = red>topic</font> for a film -- but here the <font color = red>choices</font> are as contrived and <font color = red>artificial</font> as kerrigan's platinum-blonde <font color = red>hair</font> .","exploring value choices is a worthwhile <font color = green>subjected</font> for a film -- but here the <font color = green>choose</font> are as contrived and <font color = green>contrived</font> as kerrigan's platinum-blonde <font color = green>toupee</font> .",0.0005165338516235352,0.6430538892745972,0,1,0,147,"Successful"
"a dark comedy that goes for <font color = red>sick</font> and <font color = red>demented</font> humor <font color = red>simply</font> to do so . the <font color = red>movie</font> is without <font color = red>intent</font> .","a dark comedy that goes for <font color = green>psychopathic</font> and <font color = green>coot</font> humor <font color = green>honestly</font> to do so . the <font color = green>film</font> is without <font color = green>object</font> .",0.0006580948829650879,0.9974267482757568,0,1,0,187,"Successful"
"more trifle than <font color = red>triumph</font> .","more trifle than <font color = green>triomphe</font> .",0.0523456335067749,0.9750078320503235,0,1,0,53,"Successful"
"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .",0.998518705368042,0.998518705368042,1,1,0,1,"Skipped"
