,Attack,Annotation
0,"<font color = red>NEG (99.06%)</font> --> <font color = green>POS (56.19%)</font> </br></br> <b>Original:</b> it's a <font color = red>movie</font> that ends with truckzilla , for cryin' out <font color = red>loud</font> . if that doesn't clue you in that something's <font color = red>horribly</font> wrong , nothing will . </br></br> <b>Perturbed:</b> it's a <font color = green>cinematographers</font> that ends with truckzilla , for cryin' out <font color = green>raucous</font> . if that doesn't clue you in that something's <font color = green>unbelievably</font> wrong , nothing will .",CONSISTENT
1,"<font color = red>NEG (99.77%)</font> --> <font color = green>POS (60.52%)</font> </br></br> <b>Original:</b> <font color = red>put</font> it somewhere between sling blade and south of heaven , west of hell in the pantheon of billy bob's body of <font color = red>work</font> . </br></br> <b>Perturbed:</b> <font color = green>made</font> it somewhere between sling blade and south of heaven , west of hell in the pantheon of billy bob's body of <font color = green>efforts</font> .",CONSISTENT
2,"<font color = red>NEG (99.96%)</font> --> <font color = green>POS (85.75%)</font> </br></br> <b>Original:</b> it should be interesting , it should be poignant , it turns out to be affected and <font color = red>boring</font> . </br></br> <b>Perturbed:</b> it should be interesting , it should be poignant , it turns out to be affected and <font color = green>annoy</font> .",CONSISTENT
3,<font color = green>POS (98.93%)</font> --> <font color = red>NEG (65.89%)</font> </br></br> <b>Original:</b> those who don't entirely 'get' godard's distinctive discourse will still come away with a sense of his <font color = green>reserved</font> but existential poignancy . </br></br> <b>Perturbed:</b> those who don't entirely 'get' godard's distinctive discourse will still come away with a sense of his <font color = red>proviso</font> but existential poignancy .,CONSISTENT
4,"<font color = green>POS (99.85%)</font> --> <font color = red>NEG (99.88%)</font> </br></br> <b>Original:</b> an enormously <font color = green>entertaining</font> movie , like nothing we've ever seen before , and yet completely familiar . </br></br> <b>Perturbed:</b> an enormously <font color = red>fooling</font> movie , like nothing we've ever seen before , and yet completely familiar .",INCONSISTENT
5,"<font color = green>POS (74.27%)</font> --> <font color = red>NEG (88.46%)</font> </br></br> <b>Original:</b> sure , i hated myself in the morning . but then again , i hate myself most mornings . i still like moonlight mile , better judgment <font color = green>be</font> damned . </br></br> <b>Perturbed:</b> sure , i hated myself in the morning . but then again , i hate myself most mornings . i still like moonlight mile , better judgment <font color = red>se</font> damned .",CONSISTENT
6,"<font color = red>NEG (99.07%)</font> --> <font color = green>POS (63.15%)</font> </br></br> <b>Original:</b> i suspect that you'll be as <font color = red>bored</font> watching morvern callar as the characters are in it . if you <font color = red>go</font> , pack your <font color = red>knitting</font> <font color = red>needles</font> . </br></br> <b>Perturbed:</b> i suspect that you'll be as <font color = green>pesky</font> watching morvern callar as the characters are in it . if you <font color = green>proceed</font> , pack your <font color = green>knit</font> <font color = green>syringes</font> .",I DON'T KNOW
7,"<font color = green>POS (99.94%)</font> --> <font color = red>NEG (87.23%)</font> </br></br> <b>Original:</b> without resorting to camp or parody , haynes ( like sirk , but differently ) <font color = green>has</font> <font color = green>transformed</font> the rhetoric of <font color = green>hollywood</font> melodrama into something provocative , rich , and strange . </br></br> <b>Perturbed:</b> without resorting to camp or parody , haynes ( like sirk , but differently ) <font color = red>possessed</font> <font color = red>tampered</font> the rhetoric of <font color = red>broadway</font> melodrama into something provocative , rich , and strange .",CONSISTENT
8,<font color = green>POS (99.84%)</font> --> <font color = red>NEG (99.69%)</font> </br></br> <b>Original:</b> a moving and not infrequently <font color = green>breathtaking</font> film . </br></br> <b>Perturbed:</b> a moving and not infrequently <font color = red>thrilling</font> film .,CONSISTENT
9,"<font color = green>POS (99.92%)</font> --> <font color = red>NEG (98.08%)</font> </br></br> <b>Original:</b> it uses some of the figures from the real-life story to portray themselves in the film . the result is a <font color = green>powerful</font> , naturally dramatic piece of low-budget filmmaking . </br></br> <b>Perturbed:</b> it uses some of the figures from the real-life story to portray themselves in the film . the result is a <font color = red>pompous</font> , naturally dramatic piece of low-budget filmmaking .",CONSISTENT
